Fowl aviadenovirus B,NaN, , , 
Dabie bandavirus,NaN, , , 
Shrimp wenrivirus,NaN, ,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8652140/
Feline leukemia virus,NaN, , , 
Circo-like virus-Brazil,NaN, , , 
Human alphaherpesvirus 3,NaN, , , 
Cotesia congregata bracovirus,NaN, ,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3758192/
Human associated cyclovirus 3,NaN, , , 
Gammapapillomavirus 22,NaN, , , 
Circular ssDNA virus sp.,NaN, , , 
Akhmeta virus,NaN, ,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6880181/
Saimiriine gammaherpesvirus 2,NaN, , , 
Madariaga virus,NaN, ,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10491141/, 
Cyprinid herpesvirus 2,NaN, , , 
Human papillomavirus,NaN, ,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4677058/, 
Cache Valley orthobunyavirus,NaN, , , 
Human polyomavirus 8,NaN, ,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3774018/, 
Mamastrovirus 4,NaN, , , 
Torque teno virus 9,NaN, ,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7696489/
TTV-like mini virus,NaN, , , 
Torque teno midi virus 10,NaN, ,https://bmcmicrobiol.biomedcentral.com/articles/10.1186/s12866-024-03187-7, 
Omegapapillomavirus 1,NaN, , , 
Fruit bat alphaherpesvirus 1,NaN, ,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7459556/
Betapapillomavirus 4,NaN, , , 
Indiana vesiculovirus,NaN, , , 
Human orthorubulavirus 4,NaN, , , 
Human mastadenovirus F,NaN, ,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8704784/
Jamestown Canyon orthobunyavirus,NaN, , , 
Torque teno mini virus 3,NaN, , , 
Heliothis virescens ascovirus 3a,NaN, , , 
Human polyomavirus 13,NaN, , , 
Torque teno midi virus 8,NaN, ,https://bmcinfectdis.biomedcentral.com/articles/10.1186/s12879-022-07783-8, 
Bundibugyo ebolavirus,NaN, ,https://www.nature.com/articles/sdata201519
Lymphocytic choriomeningitis mammarenavirus,NaN, , , 
Hepatitis GB virus B,NaN, , , 
